Names	total	elements
Comet>3 proteins Peaks 80 PePEx proteins	1078	PMM1177
		PMM1156
		PMM1715
		PMM0076
		PMM1630
		PMM1350
		PMM0499
		PMM1664
		PMM0598
		PMM1225
		PMM0396
		PMM0039
		PMM0215
		PMM1233
		PMM1200
		PMM0473
		PMM1691
		PMM1569
		PMM0042
		PMM1512
		PMM0492
		PMM1537
		PMM1345
		PMM0790
		PMM1692
		PMM1280
		PMM0519
		PMM1034
		PMM1330
		PMM0077
		PMM1220
		PMM1070
		PMM0060
		PMM0642
		PMM0331
		PMM1315
		PMM0941
		PMM1670
		PMM0120
		PMM0049
		PMM0996
		PMM0799
		PMM1503
		PMM1498
		PMM1217
		PMM0440
		PMM0027
		PMM0712
		PMM1126
		PMM0989
		PMM1197
		PMM1313
		PMM0753
		PMM1301
		PMM1113
		PMM0459
		PMM1545
		PMM1689
		PMM0969
		PMM0360
		PMM1269
		PMM0781
		PMM0082
		PMM1278
		PMM0521
		PMM1064
		PMM0663
		PMM0502
		PMM0203
		PMM0893
		PMM1415
		PMM1349
		PMM0881
		PMM0037
		PMM0552
		PMM0161
		PMM0107
		PMM1148
		PMM0258
		PMM0926
		PMM0405
		PMM1578
		PMM1621
		PMM1303
		PMM0378
		PMM1369
		PMM1549
		PMM0175
		PMM1656
		PMM1329
		PMM0982
		PMM1576
		PMM1340
		PMM0677
		PMM0959
		PMM0776
		PMM0743
		PMM1532
		PMM0483
		PMM0623
		PMM0313
		PMM0907
		PMM1699
		PMM0091
		PMM0615
		PMM0389
		PMM0210
		PMM1601
		PMM1558
		PMM1452
		PMM1081
		PMM1069
		PMM0490
		PMM0705
		PMM0526
		PMM0419
		PMM1700
		PMM1260
		PMM0834
		PMM1377
		PMM0852
		PMM1105
		PMM0732
		PMM0327
		PMM1594
		PMM0607
		PMM1254
		PMM1465
		PMM0505
		PMM1205
		PMM1413
		PMM0710
		PMM1687
		PMM1347
		PMM1154
		PMM1186
		PMM0125
		PMM0783
		PMM0008
		PMM1437
		PMM1539
		PMM0962
		PMM1322
		PMM0321
		PMM0302
		PMM1209
		PMM0709
		PMM1662
		PMM1337
		PMM1583
		PMM1589
		PMM1543
		PMM0021
		PMM0847
		PMM1454
		PMM0596
		PMM0338
		PMM0786
		PMM1547
		PMM1561
		PMM0319
		PMM0353
