Names	total	elements
Comet 2.17 ProtProp99	1199	PMM1177
		PMM1156
		PMM1715
		PMM0076
		PMM1630
		PMM1350
		PMM0499
		PMM1664
		PMM0598
		PMM1225
		PMM0396
		PMM0039
		PMM0215
		PMM1233
		PMM1200
		PMM0473
		PMM1691
		PMM0182
		PMM1569
		PMM0042
		PMM1512
		PMM0492
		PMM1537
		PMM1345
		PMM1432
		PMM0098
		PMM0790
		PMM1692
		PMM1280
		PMM0911
		PMM0519
		PMM1330
		PMM0077
		PMM1220
		PMM1070
		PMM0060
		PMM0642
		PMM0331
		PMM1315
		PMM1163
		PMM0941
		PMM1670
		PMM1276
		PMM0120
		PMM0719
		PMM0049
		PMM0996
		PMM0799
		PMM1503
		PMM1498
		PMM1217
		PMM0265
		PMM0440
		PMM0027
		PMM1126
		PMM0428
		PMM0989
		PMM1197
		PMM1313
		PMM0753
		PMM1113
		PMM1301
		PMM0459
		PMM1545
		PMM0969
		PMM1689
		PMM0360
		PMM1269
		PMM0781
		PMM0933
		PMM0082
		PMM1278
		PMM0521
		PMM1064
		PMM0663
		PMM0502
		PMM0203
		PMM1571
		PMM0893
		PMM1415
		PMM1349
		PMM0037
		PMM0552
		PMM0161
		PMM0107
		PMM0258
		PMM1148
		PMM0926
		PMM0405
		PMM1496
		PMM1578
		PMM1406
		PMM1621
		PMM1303
		PMM0378
		PMM1369
		PMM1549
		PMM0175
		PMM1207
		PMM1656
		PMM0534
		PMM1329
		PMM0116
		PMM0559
		PMM1576
		PMM1340
		PMM0677
		PMM0959
		PMM0605
		PMM0776
		PMM0743
		PMM0954
		PMM0994
		PMM1532
		PMM0483
		PMM1677
		PMM0623
		PMM0907
		PMM1023
		PMM1699
		PMM0091
		PMM0615
		PMM0365
		PMM0389
		PMM1601
		PMM1558
		PMM0210
		PMM1452
		PMM1188
		PMM0344
		PMM1081
		PMM1069
		PMM0490
		PMM0705
		PMM0526
		PMM0419
		PMM1700
		PMM1260
		PMM0834
		PMM1593
		PMM1377
		PMM0852
		PMM0732
		PMM0327
		PMM1594
		PMM0607
		PMM1446
		PMM1254
		PMM1465
		PMM0505
		PMM1205
		PMM1413
		PMM0710
		PMM1159
		PMM1687
		PMM1347
		PMM1505
		PMM1154
		PMM1186
		PMM0125
		PMM0783
		PMM1437
		PMM0008
		PMM1539
		PMM0962
		PMM0826
		PMM1322
		PMM0321
		PMM0302
		PMM1209
		PMM0709
		PMM1662
		PMM1337
		PMM1583
		PMM1262
		PMM1589
		PMM1543
		PMM0021
		PMM0847
		PMM0745
		PMM1454
		PMM0596
		PMM0338
		PMM0786
		PMM0296
		PMM1547
		PMM1561
		PMM1006
		PMM0319
		PMM0353
		PMM1342
		PMM0343
		PMM0275
		PMM1499
		PMM0960
		PMM0679
		PMM0475
		PMM0384
		PMM0228
		PMM1033
		PMM1468
		PMM1461
		PMM1079
		PMM0493
		PMM1552
		PMM1056
		PMM1004
		PMM1143
		PMM1215
		PMM1181
		PMM0750
		PMM1485
		PMM1488
		PMM0409
		PMM1707
		PMM1141
		PMM1639
		PMM1596
		PMM1321
		PMM0891
		PMM0198
		PMM0865
		PMM1554
		PMM0833
		PMM1669
		PMM1066
		PMM0774
		PMM0461
		PMM1444
		PMM0248
		PMM1649
		PMM1332
		PMM1171
		PMM1574
		PMM0589
		PMM0764
		PMM1419
		PMM1608
		PMM0668
		PMM0170
		PMM0201
		PMM1291
		PMM0532
		PMM0025
		PMM1517
		PMM0920
		PMM0367
		PMM1614
		PMM0899
		PMM0883
		PMM0256
		PMM0127
		PMM0376
		PMM1500
		PMM0023
		PMM0863
		PMM0870
		PMM0286
		PMM0884
		PMM0035
		PMM1642
		PMM1702
		PMM0407
		PMM0544
		PMM1093
		PMM0466
		PMM1362
		PMM0142
		PMM1563
		PMM0947
		PMM0699
		PMM0348
		PMM0658
		PMM1252
		PMM0136
		PMM0016
		PMM1407
		PMM0135
		PMM0513
		PMM0734
		PMM0975
		PMM0155
		PMM1235
		PMM1230
		PMM0410
		PMM0004
		PMM0702
		PMM0595
		PMM0050
		PMM1442
		PMM1697
		PMM1626
		PMM1507
		PMM0485
		PMM0246
		PMM0044
		PMM1213
		PMM1694
		PMM1285
		PMM0105
