Names	total	elements
suspended 100 m suspended 965 m	8	amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique
		hypothetical protein Nitrospina sp AB-629-B18
		General L-amino acid-binding periplasmic protein AapJ precursor
		hypothetical protein
		Selenate reductase subunit beta
		Dimethylsulfide dehydrogenase subunit beta
		Selenate reductase subunit gamma precursor
		Bacterial extracellular solute-binding protein
suspended 100 m	365	Poly(beta-D-mannuronate) C5 epimerase 7
		Ribulose bisphosphate carboxylase large chain
		50S ribosomal protein L15
		50S ribosomal protein L3
		photosystem II protein D1 Prochlorococcus marinus
		molecular chaperone GroEL Prochlorococcus sp MIT 0604
		Photosystem II protein
		Allophycocyanin alpha chain
		50S ribosomal protein L9
		NAD-dependent dehydratase Prochlorococcus
		molecular chaperone GroEL Rhodothermus marinus
		photosystem I protein PsaD Prochlorococcus marinus
		hypothetical protein Acidobacterium capsulatum
		50S ribosomal protein L4
		actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
		Nitrogen regulatory protein P-II
		DNA-directed RNA polymerase subunit beta
		ubiquitin extension protein 4 partial  Phaeodactylum tricornutum CCAP 1055
		Flavodoxin
		chemotaxis protein CheY Synechococcus sp WH 8102
		photosystem I iron-sulfur center Synechococcus sp WH 5701
		UDP-glucose 4-epimerase
		50S ribosomal protein L15 Prochlorococcus
		Taurine-binding periplasmic protein precursor
		chemotaxis protein CheY Prochlorococcus sp MIT 0801
		acyl carrier protein Synechococcus
		Cytochrome c-550 precursor
		transcription termination factor NusA Prochlorococcus
		30S ribosomal protein S7
		C4-dicarboxylate ABC transporter Candidatus Pelagibacter ubique
		calmoduline  Phaeodactylum tricornutum CCAP 1055
		chemotaxis protein CheY Prochlorococcus sp MIT 0604
		Chlorate reductase subunit gamma precursor
		uroporphyrinogen decarboxylase Synechococcus sp KORDI-100
		ATP synthase gamma chain
		Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
		Ribulose-phosphate 3-epimerase
		histone H2A isoform 3b  Phaeodactylum tricornutum CCAP 1055
		Core histone H2A/H2B/H3/H4
		photosystem II protein D1 Prochlorococcus
		Short-chain-fatty-acid--CoA ligase
		glutamine synthetase Prochlorococcus sp MIT 0604
		Aliphatic amidase expression-regulating protein
		DNA-binding protein HU 1
