Names	total	elements
100 m sink 100 m sus 965 m sink 965 m sus	2	ETNP_60m_PROKKA_16910
		gi|54036848
100 m sus 965 m sus	70	ETNP_120m_PROKKA_318382
		EJK52562
		XP_003062500
		WP_042251421
		NP_300m_PROKKA_31612
		ETNP14_68maa_PROKKA_75202
		XP_002179202
		ETNP_100m_particle_PROKKA_82300
		WP_018049561
		EJK60529
		ETNP14_120maa_PROKKA_86815
		ETNP_120m_PROKKA_17226
		NP_100m_PROKKA_11245
		NP_300m_PROKKA_29559
		WP_011282064
		WP_018048164
		ETNP14_120maa_PROKKA_137725
		ETNP14_68maa_PROKKA_44091
		NP_125m_PROKKA_15229
		NP_85m_PROKKA_17540
		ETNP_120m_particle_PROKKA_30032
		ETNP14_68maa_PROKKA_88339
		ETNP14_120maa_PROKKA_140717
		EJK63752
		XP_002179427
		WP_018047899
		EJK66680
		NP_300m_PROKKA_09976
		ETNP_100m_particle_PROKKA_07520
		WP_015349883
		ETNP14_68mB_PROKKA_179270
		ETNP_100m_particle_PROKKA_50716
		ETNP14_68mB_PROKKA_39666
		CBE69591
		NP_85m_PROKKA_04528
		Fosmid_PROKKA_01409
		NP_85m_PROKKA_03329
		ETNP14_120mab_PROKKA_99293
		XP_003061104
		NP_85m_PROKKA_09530
		EJK65157
		XP_002183295
		XP_002182221
		ETNP14_68mB_PROKKA_116566
		WP_018047900
		XP_003056479
		EJK74336
		NP_300m_PROKKA_40691
		ETNP14_68maa_PROKKA_99193
		NP_300m_PROKKA_21161
		ETNP_100m_particle_PROKKA_10535
		NP_100m_PROKKA_27465
		XP_002180358
		NP_85m_PROKKA_04529
		ETNP14_120maa_PROKKA_31996
		ETNP_110m_PROKKA_20909
		ETNP14_120maa_PROKKA_50274
		ETNP14_120maa_PROKKA_153758
		ETNP14_120maa_PROKKA_56104
		ETNP14_120maa_PROKKA_76983
		ETNP14_120maa_PROKKA_147886
		ETNP14_68maa_PROKKA_171658
		ETNP_100m_particle_PROKKA_145656
		XP_003058621
		WP_018047897
		ETNP14_120maa_PROKKA_31636
		ETNP14_68mB_PROKKA_132518
		XP_002183424
		ETNP_120m_particle_PROKKA_209581
		ETNP_120m_PROKKA_308104
100 m sink 100 m sus	2	ETNP_120m_PROKKA_213547
		ETNP_160m_PROKKA_84755
100 m sus 965 m sink	3	ETNP14_68maa_PROKKA_81712
		ETNP_90m_PROKKA_55079
		ETNP_70m_PROKKA_142252
100 m sink 965 m sink	15	70m_MEGAHIT_CJDMCFAD_72421
		120m_megahit_CMKFGOPF_173908
		70m_MEGAHIT_CJDMCFAD_68937
		70m_MEGAHIT_CJDMCFAD_128028
		ETNP14_120maa_PROKKA_98903
		70m_MEGAHIT_CJDMCFAD_64580
		100mP_megahit_BKKBEGJO_23068
		100mP_megahit_BKKBEGJO_62241
		90m_Megahit_DAALLOGA_112022
		ETNP14_120maa_PROKKA_78369
		70m_MEGAHIT_CJDMCFAD_44047
		70m_MEGAHIT_CJDMCFAD_64581
		ETNP14_68maa_PROKKA_02795
		100m_megahit_CLKLDGCM_82429
		100mP_megahit_BKKBEGJO_167039
100 m sus	1333	ETNP_100m_PROKKA_73186
		ETNP_120m_PROKKA_93512
		ETNP_100m_PROKKA_06068
		ETNP_100m_particle_PROKKA_112481
		ETNP_120m_PROKKA_113448
		NP_300m_PROKKA_56695
		ETNP_120m_PROKKA_123375
		ETNP14_120maa_PROKKA_54071
		ETNP_120m_particle_PROKKA_02860
		ETNP14_120maa_PROKKA_58157
		ETNP_120m_particle_PROKKA_78242
		ETNP_100m_PROKKA_92665
		ETNP14_68maa_PROKKA_157355
		ETNP_140m_PROKKA_19000
		NP_85m_PROKKA_23185
		ETNP_160m_PROKKA_201664
		ETNP_120m_PROKKA_310245
		NP_85m_PROKKA_21556
		WP_036916046
		WP_011129606
		ETNP14_68mB_PROKKA_05712
		ETNP_120m_PROKKA_00651
		ETNP14_120mab_PROKKA_44625
		ETNP_90m_PROKKA_93078
		ETNP_120m_particle_PROKKA_147915
		ETNP_120m_particle_PROKKA_87275
		ETNP_150m_particle_PROKKA_20053
		ETNP_100m_particle_PROKKA_90902
		ETNP_110m_PROKKA_23156
		EJK48130
		ETNP14_120mab_PROKKA_10297
		WP_002805232
		ETNP14_120mac_PROKKA_95081
		ETNP_100m_particle_PROKKA_44910
		ETNP_90m_PROKKA_109358
